Kingdom,Phylum,Class,Order,Family,Genus,Species,ERR1414267,ERR1414271,ERR1414265,ERR1414209,ERR1414210,ERR1414211,ERR1414212,ERR1414213,ERR1414214,ERR1414215,ERR1414216,ERR1414217,ERR1414218,ERR1414219,ERR1414220,ERR1414221,ERR1414222,ERR1414223,ERR1414224,ERR1414225,ERR1414226,ERR1414227,ERR1414228,ERR1414229,ERR1414230,ERR1414231,ERR1414232,ERR1414233,ERR1414234,ERR1414235,ERR1414236,ERR1414237,ERR1414238,ERR1414239,ERR1414240,ERR1414241,ERR1414242,ERR1414243,ERR1414244,ERR1414245,ERR1414246,ERR1414247,ERR1414248,ERR1414249,ERR1414250,ERR1414251,ERR1414252,ERR1414253,ERR1414254,ERR1414255,ERR1414256,ERR1414257,ERR1414258,ERR1414259,ERR1414260,ERR1414261,ERR1414262,ERR1414263,ERR1414264,ERR1414266,ERR1414268,ERR1414269,ERR1414270,ERR1414272,ERR1414273,ERR1414274,ERR1414275,ERR1414276,ERR1414277,ERR1414278
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinokineospora,diospyrosa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Kibdelosporangium,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea,albidocapillata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,Beutenbergia,cavernae,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,Salana,multivorans,4,2,0,4,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,7,10,2,4,2,2,1,7,5,5,4,0,7,0,1,3,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,2,2,1
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,Serinibacter,salmoneus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Bogoriellaceae,Georgenia,,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,4,3,0,2,2,2,0,2,1,0,0,0,0,3,3,4,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,2,1
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,aureumcaseipaucivorans,20,4,6,21,7,15,23,24,20,20,3,5,1,9,8,17,16,2,4,3,20,33,40,20,14,42,32,2,4,6,3,8,7,7,4,14,21,7,7,5,9,9,19,17,10,15,12,10,17,9,21,0,0,9,6,0,0,6,8,2,20,1,2,6,11,36,13,3,14,10
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Actinotalea,,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1,0,0,0,0,1,0,3,0,4,8,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
