Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERR977407,ERR977409,ERR977410,ERR977423,ERR977424,ERR977425,ERR977403,ERR977404,ERR977405,ERR977406,ERR977411,ERR977415,ERR977417,ERR977421
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Week_Chryseobacterium,0,1,2,1,4,15,0,0,0,0,0,0,0,206
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Cloacibacterium,Week_Cloacibacterium,0,1,0,1,14,83,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Week_Elizabethkingia,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Riemerella,Week_Riemerella,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Wautersiella,Week_Wautersiella,0,0,0,0,0,2,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Weeksella,Week_Weeksella,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Rhodothermi,Rhodothermales,Rhodothermaceae,Rhodothermus,Rhod_Rhodothermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Chitinophaga,Chit_Chitinophaga,0,0,0,0,1,0,0,0,0,0,1,1,0,2
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Flavihumibacter,Chit_Flavihumibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Flavisolibacter,Chit_Flavisolibacter,0,0,0,0,2,5,0,0,0,0,2,4,1,4
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Niabella,Chit_Niabella,0,0,2,3,0,0,0,0,0,0,0,2,5,3
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Niastella,Chit_Niastella,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Parasegitibacter,Chit_Parasegitibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Sediminibacterium,Chit_Sediminibacterium,0,2,0,2,9,43,0,0,0,0,6,0,3,6
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Segetibacter,Chit_Segetibacter,0,0,0,1,1,2,0,0,0,0,1,2,6,5
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Saprospiraceae,Haliscomenobacter,Sapr_Haliscomenobacter,2,3,1,6,7,12,0,0,0,0,9,5,0,0
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Saprospiraceae,Lewinella,Sapr_Lewinella,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Saprospiraceae,Portibacter,Sapr_Portibacter,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Saprospirae,Saprospirales,Saprospiraceae,Saprospira,Sapr_Saprospira,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Sphi_Mucilaginibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Bacteria,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Sphi_Pedobacter,0,0,1,0,0,4,0,0,0,0,0,0,0,735
Bacteria,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,Sphi_Solitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bacteria,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,Sphi_Sphingobacterium,0,0,0,0,0,1,0,0,0,0,0,0,0,39
Bacteria,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydophila,Chla_Chlamydophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Criblamydiaceae,Criblamydia,Crib_Criblamydia,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Criblamydiaceae,Estrella,Crib_Estrella,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Parachlamydia,Para_Parachlamydia,0,0,0,0,5,18,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Chlorobi,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,Igna_Ignavibacterium,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,Anaerolinea,Anae_Anaerolinea,0,0,0,0,3,2,0,0,0,0,3,2,0,0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,Levilinea,Anae_Levilinea,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,Longilinea,Anae_Longilinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Ardenscatenales,Ardenscatenaceae,Ardenscatena,Arde_Ardenscatena,0,0,0,3,1,2,0,0,0,0,1,9,0,0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Caldilinea,Cald_Caldilinea,2,16,6,85,103,150,0,0,0,0,14,101,0,0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Litorilinea,Cald_Litorilinea,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,Chloroflexus,Chlo_Chloroflexus,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,Chloronema,Chlo_Chloronema,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Bacteria,Chloroflexi,Chloroflexi,Chloroflexales,Oscillochloridaceae,Oscillochloris,Osci_Oscillochloris,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Bacteria,Bacteria,Chloroflexi,Chloroflexi,Roseiflexales,Kouleothrixaceae,Kouleothrix,Koul_Kouleothrix,0,0,0,0,0,1,0,0,0,0,0,4,0,0
Bacteria,Bacteria,Chloroflexi,Chloroflexi,Roseiflexales,Roseiflexaceae,Roseiflexus,Rose_Roseiflexus,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Chloroflexi,Thermobacula,Thermobaculales,Thermobaculaceae,Thermobaculum,Ther_Thermobaculum,0,0,0,2,2,2,0,0,0,0,0,0,1,0
Bacteria,Bacteria,Cyanobacteria,Nostocophycideae,Stigonematales,Rivulariaceae,Rivularia,Rivu_Rivularia,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Cyanobacteriaceae,Cyanobacterium,Cyan_Cyanobacterium,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Cyanobacteria,Oscillatoriophycideae,Chroococcales,Gomphosphaeriaceae,Snowella,Gomp_Snowella,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Bacteria,Bacteria,Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya,Pseu_Leptolyngbya,0,0,0,0,0,1,0,0,0,0,1,1,0,0
