Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERR2586215,ERR2586216,ERR2586217,ERR2586218,ERR2586219,ERR2586220
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Flav_Capnocytophaga,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,Flav_Chryseobacterium,0.0,0.0,0.0,5.0,5.0,4.0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cloacibacterium,Flav_Cloacibacterium,0.0,0.0,0.0,0.0,3.0,0.0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Elizabethkingia,Flav_Elizabethkingia,0.0,0.0,0.0,0.0,0.0,1.0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flav_Flavobacterium,0.0,0.0,1.0,718.0,911.0,840.0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Formosa,Flav_Formosa,0.0,0.0,0.0,0.0,1.0,0.0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Moheibacter,Flav_Moheibacter,0.0,0.0,0.0,2.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,Flav_Ulvibacter,0.0,0.0,0.0,0.0,1.0,1.0
Bacteria,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Haliscomenobacter,Hali_Haliscomenobacter,1.0,1.0,0.0,36.0,61.0,34.0
Bacteria,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Phaeodactylibacter,Hali_Phaeodactylibacter,2.0,1.0,2.0,6.0,6.0,1.0
Bacteria,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Portibacter,Hali_Portibacter,0.0,2.0,1.0,0.0,0.0,0.0
Bacteria,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Lewinellaceae,Lewinella,Lewi_Lewinella,4.0,1.0,5.0,3.0,3.0,1.0
Bacteria,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Saprospiraceae,Rubidimonas,Sapr_Rubidimonas,0.0,0.0,0.0,0.0,0.0,1.0
Bacteria,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Sphi_Pedobacter,0.0,0.0,0.0,1.0,0.0,2.0
Bacteria,Bacteria,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,Cald_Caldisericum,0.0,0.0,0.0,0.0,0.0,2.0
Bacteria,Bacteria,Calditrichaeota,,,,Calorithrix,Calorithrix,0.0,0.0,0.0,0.0,0.0,1.0
Bacteria,Bacteria,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Neochlamydia,Para_Neochlamydia,2.0,2.0,0.0,5.0,1.0,2.0
Bacteria,Bacteria,Chloroflexi,,,,Kouleothrix,Kouleothrix,0.0,0.0,0.0,321.0,329.0,302.0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea,Anae_Anaerolinea,2.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Levilinea,Anae_Levilinea,1.0,0.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea,Anae_Longilinea,1.0,0.0,4.0,7.0,11.0,4.0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea,Anae_Pelolinea,0.0,1.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea,Anae_Thermomarinilinea,2.0,2.0,3.0,0.0,0.0,0.0
Bacteria,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Litorilinea,Cald_Litorilinea,3.0,1.0,2.0,1.0,0.0,0.0
Bacteria,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,Rose_Roseiflexus,0.0,0.0,0.0,12.0,16.0,12.0
Bacteria,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Nitrolancea,Spha_Nitrolancea,0.0,1.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Chloroflexi,Thermomicrobia,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,Spha_Sphaerobacter,0.0,1.0,0.0,0.0,0.0,0.0
Bacteria,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Anabaena,Nost_Anabaena,0.0,0.0,0.0,0.0,0.0,1.0
Bacteria,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,True_Truepera,173.0,211.0,173.0,0.0,0.0,0.0
Bacteria,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,Elus_Elusimicrobium,0.0,0.0,0.0,0.0,1.0,0.0
Bacteria,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibr_Fibrobacter,0.0,0.0,0.0,1.0,1.0,0.0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,Alic_Tumebacillus,0.0,0.0,0.0,0.0,1.0,2.0
Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Solibacillus,Plan_Solibacillus,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca,Carn_Jeotgalibaca,0.0,0.0,0.0,0.0,1.0,0.0
Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Lacticigenium,Carn_Lacticigenium,0.0,0.0,0.0,1.0,2.0,1.0
Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Ente_Enterococcus,0.0,0.0,0.0,0.0,0.0,1.0
Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lact_Lactobacillus,0.0,0.0,0.0,1.0,2.0,3.0
Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Stre_Lactococcus,0.0,0.0,0.0,1.0,0.0,3.0
Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Stre_Streptococcus,0.0,0.0,0.0,2.0,2.0,5.0
Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,Caldicoprobacter,Cald_Caldicoprobacter,0.0,0.0,1.0,0.0,0.0,0.0
Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Butyricicoccus,Clos_Butyricicoccus,0.0,0.0,0.0,1.0,1.0,0.0
