#SampleID	ERR2814645	ERR2814646	ERR2814647	ERR2814648	ERR2814649	ERR2814650	ERR2814651	ERR2814652	ERR2814653	ERR2814654	ERR2814655	ERR2814656	ERR2814657	ERR2814658	ERR2814659	ERR2814660	ERR2814661	ERR2814662	ERR2814663	ERR2814664	ERR2814665	ERR2814666	ERR2814667	ERR2814668
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Candidatus_Methanoplasma	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Euryarchaeota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Nanoarchaeota	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0
sk__Archaea;k__;p__Thaumarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	2.0	2.0	0	0
sk__Bacteria	4405.0	3075.0	4854.0	3659.0	3028.0	3211.0	7358.0	3852.0	5782.0	6055.0	4197.0	3543.0	5009.0	3677.0	6847.0	3298.0	3726.0	3952.0	4154.0	4559.0	5055.0	5481.0	5320.0	4524.0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Cyanobacteria/Melainabacteria_group_bacterium_S15B-MN24_CBMW_12	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	2.0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Gram-positive_bacterium_SOGA31	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Microgenomates_group_bacterium_ADurb.Bin238	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_ADurb.Bin247	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__Parcubacteria_group_bacterium_ADurb.Bin326	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__arsenic-oxidizing_bacterium_B09	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_'New_Zealand_B'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_09.96.18	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_28S422	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_28W232	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_AC2042	1.0	0	0	2.0	0	0	1.0	0	2.0	0	0	0	1.0	2.0	0	0	0	1.0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_FC2008	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_NLAE-zl-C91	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_NLAE-zl-H174	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_RFB_D08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_SCGC_AG-212-C10	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_YE57	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	1.0	0	0	0	0	0	0	1.0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_YE59	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_YE64	0	2.0	0	1.0	0	0	0	0	2.0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__;c__;o__;f__;g__;s__bacterium_endosymbiont_of_Onthophagus_Taurus	1.0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0
