Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Family_Genus,ERZ724508,ERZ724502,ERZ724529,ERZ724524,ERZ724514,ERZ724528
Bacteria,,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Proteocatella,Pept_Proteocatella,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Pept_Romboutsia,0.0,0.0,0.0,0.0,1.0,0.0
Bacteria,,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Rumi_Faecalibacterium,0.0,2.0,0.0,1.0,0.0,0.0
Bacteria,,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Rumi_Ruminococcus,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Saccharofermentans,Rumi_Saccharofermentans,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Subdoligranulum,Rumi_Subdoligranulum,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halocella,Hala_Halocella,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenibacterium,Erys_Catenibacterium,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,Erys_Faecalitalea,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Erys_Holdemanella,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acid_Acidaminococcus,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Acid_Phascolarctobacterium,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Succiniclasticum,Acid_Succiniclasticum,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Sele_Megamonas,0.0,2.0,0.0,1.0,0.0,0.0
Bacteria,,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Mitsuokella,Sele_Mitsuokella,0.0,1.0,0.0,0.0,0.0,0.0
Bacteria,,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Sele_Selenomonas,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaerosinus,Spor_Anaerosinus,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Veil_Dialister,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Veil_Megasphaera,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fuso_Fusobacterium,0.0,1.0,0.0,0.0,0.0,0.0
Bacteria,,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Hypnocyclicus,Fuso_Hypnocyclicus,0.0,2.0,0.0,1.0,0.0,0.0
Bacteria,,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Lept_Leptotrichia,1.0,0.0,1.0,1.0,0.0,0.0
Bacteria,,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemm_Gemmatimonas,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitr_Nitrospira,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Planctomycetes,Planctomycetia,Planctomycetales,Isosphaeraceae,Singulisphaera,Isos_Singulisphaera,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Pirellula,Plan_Pirellula,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Caul_Phenylobacterium,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Hyph_Devosia,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium,Hyph_Filomicrobium,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,Hyph_Pedomicrobium,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,Hyph_Rhodoplanes,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,Meth_Methylocystis,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hirschia,Hyph_Hirschia,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Cereibacter,Rhod_Cereibacter,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Rhod_Paracoccus,0.0,2.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter,Rhod_Pseudorhodobacter,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Rhod_Rhodobacter,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,Rhod_Roseovarius,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,Rhod_Tabrizicola,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,Enhydrobacter,Enhydrobacter,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,,Reyranella,Reyranella,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Dongia,Rhod_Dongia,0.0,1.0,0.0,0.0,1.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Polymorphobacter,Sphi_Polymorphobacter,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Sphi_Sandarakinorhabdus,1.0,0.0,0.0,1.0,0.0,0.0
Bacteria,,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphi_Sphingobium,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,,,Chitinivorax,Chitinivorax,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,,Aquabacterium,Aquabacterium,1.0,1.0,0.0,1.0,0.0,1.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,,Leptothrix,Leptothrix,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,Burk_Lautropia,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Coma_Acidovorax,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Caenimonas,Coma_Caenimonas,0.0,0.0,1.0,1.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Coma_Comamonas,0.0,1.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,Coma_Curvibacter,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Coma_Hydrogenophaga,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Limnohabitans,Coma_Limnohabitans,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Macromonas,Coma_Macromonas,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ottowia,Coma_Ottowia,1.0,0.0,0.0,0.0,1.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Pelomonas,Coma_Pelomonas,0.0,0.0,0.0,0.0,0.0,1.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Coma_Rhodoferax,1.0,0.0,0.0,2.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutt_Sutterella,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquaspirillum,Chro_Aquaspirillum,0.0,0.0,0.0,1.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Formivibrio,Chro_Formivibrio,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Laribacter,Chro_Laribacter,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Vogesella,Chro_Vogesella,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Rivicola,Neis_Rivicola,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitr_Nitrosomonas,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Georgfuchsia,Ster_Georgfuchsia,0.0,0.0,0.0,0.0,0.0,0.0
