superkingdom	kingdom	phylum	ERZ3455898_FASTA	ERZ3455866_FASTA	ERZ3455897_FASTA	ERZ3455890_FASTA	ERZ3455808_FASTA	ERZ3455893_FASTA	ERZ3455883_FASTA	ERZ3455869_FASTA	ERZ3455840_FASTA	ERZ3455833_FASTA	ERZ3455829_FASTA	ERZ3455804_FASTA	ERZ3455878_FASTA	ERZ3455853_FASTA	ERZ3455848_FASTA	ERZ3455819_FASTA	ERZ3455793_FASTA	ERZ3455879_FASTA	ERZ3455899_FASTA	ERZ3455856_FASTA	ERZ3455846_FASTA	ERZ3455895_FASTA	ERZ3455894_FASTA	ERZ3455886_FASTA	ERZ3455864_FASTA	ERZ3455861_FASTA	ERZ3455828_FASTA	ERZ3455820_FASTA	ERZ3455900_FASTA	ERZ3455889_FASTA	ERZ3455875_FASTA	ERZ3455874_FASTA	ERZ3455841_FASTA	ERZ3455792_FASTA	ERZ3455885_FASTA	ERZ3455847_FASTA	ERZ3455896_FASTA	ERZ3455891_FASTA	ERZ3455881_FASTA	ERZ3455873_FASTA	ERZ3455860_FASTA	ERZ3455844_FASTA	ERZ3455838_FASTA	ERZ3455870_FASTA	ERZ3455852_FASTA	ERZ3455813_FASTA	ERZ3455801_FASTA	ERZ3455791_FASTA	ERZ3455858_FASTA	ERZ3455887_FASTA	ERZ3455882_FASTA	ERZ3455877_FASTA	ERZ3455871_FASTA	ERZ3455865_FASTA	ERZ3455857_FASTA	ERZ3455850_FASTA	ERZ3455845_FASTA	ERZ3455835_FASTA	ERZ3455799_FASTA	ERZ3455892_FASTA	ERZ3455836_FASTA	ERZ3455823_FASTA	ERZ3455807_FASTA	ERZ3455880_FASTA	ERZ3455872_FASTA	ERZ3455868_FASTA	ERZ3455851_FASTA	ERZ3455843_FASTA	ERZ3455812_FASTA	ERZ3455888_FASTA	ERZ3455876_FASTA	ERZ3455862_FASTA	ERZ3455825_FASTA	ERZ3455815_FASTA	ERZ3455797_FASTA	ERZ3455884_FASTA	ERZ3455859_FASTA	ERZ3455831_FASTA	ERZ3455809_FASTA	ERZ3455803_FASTA	ERZ3455867_FASTA	ERZ3455863_FASTA	ERZ3455855_FASTA	ERZ3455849_FASTA	ERZ3455839_FASTA	ERZ3455832_FASTA	ERZ3455824_FASTA	ERZ3455817_FASTA	ERZ3455816_FASTA	ERZ3455800_FASTA	ERZ3455796_FASTA	ERZ3455842_FASTA	ERZ3455837_FASTA	ERZ3455834_FASTA	ERZ3455830_FASTA	ERZ3455827_FASTA	ERZ3455821_FASTA	ERZ3455811_FASTA	ERZ3455810_FASTA	ERZ3455806_FASTA	ERZ3455805_FASTA	ERZ3455795_FASTA	ERZ3455854_FASTA	ERZ3455826_FASTA	ERZ3455822_FASTA	ERZ3455814_FASTA	ERZ3455802_FASTA	ERZ3455798_FASTA	ERZ3455794_FASTA	ERZ3455818_FASTA
Bacteria	Unassigned	Candidatus_Woesebacteria	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Chlamydiae	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Chloroflexi	1	1	0	2	0	1	0	1	0	0	2	0	0	1	1	0	0	0	6	1	4	0	0	1	0	8	0	0	4	0	0	0	0	0	0	2	1	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	6	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	5	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0
Bacteria	Unassigned	Coprothermobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Cyanobacteria	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Deferribacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Unassigned	Deinococcus-Thermus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Elusimicrobia	0	0	0	0	2	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	2	2	0	0	0	1	0	0	0	0	0	3	1	1	1	0	0	0	0	3	2	0	0	0	0	0	2	0	1	0	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0
Bacteria	Unassigned	Fibrobacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Firmicutes	81	83	48	46	41	47	31	22	13	10	40	8	20	36	27	19	18	5	45	42	57	46	31	50	52	36	17	29	98	30	4	19	20	4	60	44	48	25	30	44	5	46	13	18	26	4	21	14	40	23	40	32	10	4	15	37	56	49	34	25	16	19	45	33	51	29	34	33	10	31	14	15	9	18	18	5	47	33	23	34	14	5	13	22	25	37	21	8	25	17	20	21	22	43	37	19	10	23	43	48	12	14	36	15	13	22	13	30	8	6
