superkingdom,kingdom,phylum,ERZ3455898,ERZ3455866,ERZ3455897,ERZ3455890,ERZ3455808,ERZ3455893,ERZ3455883,ERZ3455869,ERZ3455840,ERZ3455833,ERZ3455829,ERZ3455804,ERZ3455878,ERZ3455853,ERZ3455848,ERZ3455819,ERZ3455793,ERZ3455879,ERZ3455899,ERZ3455856,ERZ3455846,ERZ3455895,ERZ3455894,ERZ3455886,ERZ3455864,ERZ3455861,ERZ3455828,ERZ3455820,ERZ3455900,ERZ3455889,ERZ3455875,ERZ3455874,ERZ3455841,ERZ3455792,ERZ3455885,ERZ3455847,ERZ3455896,ERZ3455891,ERZ3455881,ERZ3455873,ERZ3455860,ERZ3455844,ERZ3455838,ERZ3455870,ERZ3455852,ERZ3455813,ERZ3455801,ERZ3455791,ERZ3455858,ERZ3455887,ERZ3455882,ERZ3455877,ERZ3455871,ERZ3455865,ERZ3455857,ERZ3455850,ERZ3455845,ERZ3455835,ERZ3455799,ERZ3455892,ERZ3455836,ERZ3455823,ERZ3455807,ERZ3455880,ERZ3455872,ERZ3455868,ERZ3455851,ERZ3455843,ERZ3455812,ERZ3455888,ERZ3455876,ERZ3455862,ERZ3455825,ERZ3455815,ERZ3455797,ERZ3455884,ERZ3455859,ERZ3455831,ERZ3455809,ERZ3455803,ERZ3455867,ERZ3455863,ERZ3455855,ERZ3455849,ERZ3455839,ERZ3455832,ERZ3455824,ERZ3455817,ERZ3455816,ERZ3455800,ERZ3455796,ERZ3455842,ERZ3455837,ERZ3455834,ERZ3455830,ERZ3455827,ERZ3455821,ERZ3455811,ERZ3455810,ERZ3455806,ERZ3455805,ERZ3455795,ERZ3455854,ERZ3455826,ERZ3455822,ERZ3455814,ERZ3455802,ERZ3455798,ERZ3455794,ERZ3455818
Bacteria,Unassigned,Cyanobacteria,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Unassigned,Deferribacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteria,Unassigned,Elusimicrobia,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,2,2,0,0,0,1,0,0,0,0,0,3,1,1,1,0,0,0,0,3,2,0,0,0,0,0,2,0,1,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0
Bacteria,Unassigned,Fibrobacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Unassigned,Firmicutes,81,83,48,46,41,47,31,22,13,10,40,8,20,36,27,19,18,5,45,42,57,46,31,50,52,36,17,29,98,30,4,19,20,4,60,44,48,25,30,44,5,46,13,18,26,4,21,14,40,23,40,32,10,4,15,37,56,49,34,25,16,19,45,33,51,29,34,33,10,31,14,15,9,18,18,5,47,33,23,34,14,5,13,22,25,37,21,8,25,17,20,21,22,43,37,19,10,23,43,48,12,14,36,15,13,22,13,30,8,6
Bacteria,Unassigned,Fusobacteria,2,3,1,1,2,2,1,1,1,1,2,2,3,2,1,2,1,1,3,3,2,1,2,1,1,4,1,1,5,1,2,2,1,2,4,1,2,2,2,2,1,1,2,1,2,1,2,1,1,2,2,2,1,1,1,2,3,2,1,1,2,1,2,1,1,2,2,1,2,2,1,1,1,2,1,1,3,2,1,2,1,2,2,1,2,1,1,1,2,2,1,1,2,2,1,2,1,2,2,2,2,1,2,2,1,0,1,1,2,1
Bacteria,Unassigned,Gemmatimonadetes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Unassigned,Ignavibacteriae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Unassigned,Kiritimatiellaeota,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,2,3,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2,0,0,0,3,0,0,0,0,0,0,0,4,4,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Bacteria,Unassigned,Lentisphaerae,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Unassigned,Nitrospirae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Unassigned,Planctomycetes,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,2,2,0,2,1,8,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Unassigned,Proteobacteria,56,64,53,37,49,53,28,18,16,15,61,8,20,37,35,48,16,10,51,56,77,38,43,41,46,115,34,30,76,22,10,29,24,17,37,61,53,24,34,31,9,49,24,25,44,13,24,9,54,35,44,44,17,17,39,41,23,73,41,17,22,30,52,25,67,24,42,29,12,34,34,22,21,23,42,12,67,24,39,39,29,14,15,21,35,51,28,11,51,39,30,24,25,62,34,30,13,27,34,60,25,25,37,16,13,43,28,34,16,6
Bacteria,Unassigned,Spirochaetes,1,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,0,0,10,0,0,0,0,0,10,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Bacteria,Unassigned,Synergistetes,4,1,0,1,1,0,0,1,1,0,4,0,0,2,0,0,1,0,11,4,1,0,0,2,2,2,0,0,3,0,0,0,0,0,1,1,1,0,1,0,0,2,0,1,0,0,0,0,1,0,2,0,0,0,0,1,3,4,0,0,1,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,2,0,2,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
Bacteria,Unassigned,Tenericutes,5,13,5,2,2,4,0,2,0,0,3,0,0,0,3,0,0,0,1,1,4,3,3,1,1,0,3,1,7,2,0,1,1,0,2,3,2,1,0,1,0,1,0,0,1,0,0,0,1,0,1,2,0,0,0,2,1,6,3,0,0,0,7,2,2,2,0,1,0,0,4,0,0,0,6,0,1,2,0,1,0,0,0,2,1,1,1,0,0,0,0,0,1,1,2,2,0,0,3,4,0,0,0,0,0,2,0,1,0,0
Bacteria,Unassigned,Verrucomicrobia,5,1,2,1,1,2,3,1,1,0,6,1,0,6,2,1,2,0,4,3,4,2,2,3,1,10,1,2,1,1,0,1,1,0,1,3,1,2,3,1,0,3,2,0,3,0,1,0,3,1,3,1,0,0,1,3,6,6,1,2,2,2,3,1,1,4,2,1,1,1,1,0,1,3,1,1,2,4,1,1,0,0,1,4,2,4,4,2,1,1,1,1,1,2,3,2,4,2,1,1,0,1,2,1,2,2,1,1,1,1
Eukaryota,Fungi,Ascomycota,1,3,2,0,1,3,2,0,0,0,0,1,2,0,0,3,0,0,0,0,1,1,0,4,3,0,0,4,0,1,2,0,0,0,0,3,2,0,1,0,0,0,1,2,0,0,2,0,2,1,3,1,0,0,0,0,0,0,1,0,0,6,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,3,2,1,2,0,1,0,0,0,2,1,4,0,0,1,1,2,5,0,2,1,1,3,1,0,2,0,1,0,0,2,0,0
Eukaryota,Fungi,Basidiomycota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Fungi,Cryptomycota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Arthropoda,3,2,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,2,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,1,1,0,0,0,3,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Chordata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Eukaryota,Metazoa,Gastrotricha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Mollusca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Metazoa,Nematoda,2,13,4,3,2,1,2,1,3,0,2,1,3,3,6,0,2,1,0,5,5,5,3,2,1,2,0,4,2,3,0,2,2,0,1,4,2,0,0,0,2,2,2,1,3,0,0,0,5,3,5,1,1,2,0,3,0,0,5,3,0,4,6,7,1,0,3,0,0,1,3,0,3,0,5,0,3,3,0,0,0,1,0,2,0,0,2,0,0,1,2,3,1,0,3,1,4,2,3,3,0,1,2,0,0,0,0,3,0,0
Eukaryota,Metazoa,Rotifera,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Eukaryota,Unassigned,Apicomplexa,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Unassigned,Cercozoa,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Eukaryota,Unassigned,Ciliophora,0,5,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,6,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0
Eukaryota,Unassigned,Discosea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Unassigned,Endomyxa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Unassigned,Euglenozoa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Unassigned,Evosea,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Unassigned,Fornicata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Unassigned,Haptista,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Unassigned,Preaxostyla,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Unassigned,Rhodophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Unassigned,Tubulinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Viridiplantae,Chlorophyta,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Viridiplantae,Streptophyta,3,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,3,0,0,2,1,1,0,0,1,1,0,0,0,0,2,0,3,0,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
