,study_id,Actinobacteria,Chloroflexi,Firmicutes,Gemmatimonadetes,Planctomycetes,Proteobacteria,Verrucomicrobia,Crenarchaeota,Euryarchaeota,Parvarchaeota,AC1,AD3,Acidobacteria,Aquificae,Armatimonadetes,BHI80-139,BRC1,Bacteroidetes,Caldiserica,Caldithrix,Chlamydiae,Chlorobi,Cyanobacteria,Deferribacteres,Elusimicrobia,FBP,FCPU426,Fibrobacteres,Fusobacteria,GAL15,GN02,GN04,GOUTA4,H-178,Hyd24-12,KSB3,Kazan-3B-28,LCP-89,LD1,Lentisphaerae,MVP-21,MVS-104,NC10,NKB19,Nitrospirae,OC31,OD1,OP1,OP11,OP3,OP8,OP9,PAUC34f,SAR406,SBR1093,SC4,SR1,Spirochaetes,Synergistetes,TA06,TM6,TM7,TPD-58,Tenericutes,Thermi,Thermotogae,WPS-2,WS1,WS3,WS4,WS6,WWE1,ZB3,WS2,Dictyoglomi,Poribacteria,WS5,Chrysiogenetes,EM3,OctSpA1-106,Thaumarchaeota,Balneolaeota,Calditrichaeota,Deinococcus-Thermus,Ignavibacteriae,Kiritimatiellaeota,Nitrospinae,Thermodesulfobacteria,Annelida,Apicomplexa,Arthropoda,Ascomycota,Bacillariophyta,Basidiomycota,Brachiopoda,Chlorophyta,Chordata,Cryptomycota,Echinodermata,Euglenida,Haplosporidia,Mollusca,Mucoromycota,Nematoda,Phaeophyceae,Picozoa,Platyhelminthes,Rotifera,Streptophyta,Tardigrada,Zoopagomycota,Nanoarchaeota,Rhodothermaeota,Blastocladiomycota,Bryozoa,Chromerida,Chytridiomycota,Cnidaria,Colponemidia,Entoprocta,Entorrhizomycota,Eustigmatophyceae,Gastrotricha,Gnathostomulida,Hemichordata,Microsporidia,Pinguiophyceae,Placozoa,Porifera,Priapulida,Xanthophyceae,Xenacoelomorpha,Ciliophora,Euglenozoa,Coprothermobacterota,Cercozoa,Discosea,Endomyxa,Evosea,Fornicata,Haptista,Preaxostyla,Rhodophyta,Tubulinea
ERR1352907,MGYS00000777,2060,893,236,6,82,10126,144,0,4,0,0,0,93,0,6,18,0,758,1,0,5,190,498,0,0,1,0,2,30,0,79,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,30,0,22,8,0,0,0,0,0,0,4,2988,0,0,1,149,0,3,0,0,71,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352908,MGYS00000777,3894,1636,27803,27,143,1460061,992,14,3977,0,3,0,149,0,25,6,9,1735,46,4,9,94,377,0,0,3,4,83,56,0,142,2,0,0,0,0,0,0,0,8,0,0,3,37,208,4,67,1,20,16,12,8,0,32,1,1,7,2933,129,0,13,38,0,31,81,320,88,0,6,0,34,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352909,MGYS00000777,1016,193,377,54,120,3818,96,0,0,0,0,0,67,0,1,0,0,1427,4,1,31,36,138,0,2,3,0,1,16,0,9,0,0,0,0,1,0,0,0,0,0,0,0,2,34,11,26,0,1,6,0,0,0,1,0,0,0,1796,0,0,7,69,0,3,1,0,11,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352910,MGYS00000777,1097,95,3292,10,37,367013,36,1,11,0,0,0,42,0,7,0,1,557,0,2,5,19,64,0,0,0,1,7,16,0,11,0,1,0,0,0,0,0,0,0,0,0,0,3,82,7,9,0,0,0,0,0,0,0,0,0,0,816,2,0,3,18,2,9,65,0,19,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352911,MGYS00000777,552,98,338,12,31,6010,125,0,0,0,0,0,59,1,5,0,1,630,0,0,21,36,202,0,0,0,0,6,4,0,38,0,0,0,0,0,0,0,0,1,0,0,0,3,2,1,17,0,4,1,0,0,0,0,0,0,1,1143,2,0,2,45,0,2,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352912,MGYS00000777,15438,283,8107,24,89,522733,189,3,58,0,2,0,129,0,27,1,0,1476,0,1,11,39,238,0,5,0,0,6,66,0,59,0,0,1,0,0,0,0,0,0,0,0,0,13,171,9,21,0,4,5,0,1,0,1,0,0,5,1350,2,0,2,42,0,12,80,0,23,0,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352913,MGYS00000777,564,93,514,16,77,4140,81,1,3,0,0,0,94,0,5,2,0,1011,0,3,13,57,93,0,2,2,0,0,8,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,31,23,29,0,1,0,0,0,0,0,0,0,1,365,2,0,2,56,0,3,1,1,38,0,11,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352914,MGYS00000777,1015,102,3968,13,76,323388,44,1,43,0,0,0,77,0,9,0,0,681,0,6,8,54,59,0,4,0,0,1,5,0,14,0,0,0,0,0,0,0,1,0,0,0,0,1,136,24,10,0,1,2,1,0,0,0,0,0,12,329,5,0,0,8,0,6,205,0,48,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352915,MGYS00000777,117,326,446,12,138,7303,72,0,5,0,0,0,3,0,173,4,1,2694,0,0,0,599,9,0,0,0,0,1,0,0,206,0,0,0,2,0,0,1,0,10,0,0,0,13,0,0,6,0,26,0,0,0,0,0,27,0,2,50,9,0,0,9,0,24,56,1,13,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352916,MGYS00000777,848,111,2622,0,69,336369,12,0,73,0,0,0,5,0,182,0,2,926,0,0,0,103,8,1,0,0,0,1,25,0,233,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,7,0,0,0,0,1,5,0,1,12,8,0,0,5,0,8,148,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352917,MGYS00000777,238,131,28,6,249,3325,157,0,0,0,0,0,174,0,20,1,0,835,0,0,26,279,241,0,1,17,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,35,5,4,29,0,1,6,0,0,0,0,0,0,12,75,0,0,6,6,1,0,0,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352918,MGYS00000777,1960,182,11655,8,319,536162,400,0,20,0,0,0,944,0,115,0,8,2045,1,3,20,706,441,0,2,18,1,6,18,0,81,9,1,0,0,0,0,0,0,0,0,0,0,87,26,10,17,0,0,3,2,0,0,0,0,0,12,73,0,0,3,3,1,10,13,0,242,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352919,MGYS00000777,241,298,131,31,139,3785,93,0,2,0,0,0,183,0,18,9,1,983,0,0,2,36,64,0,2,2,0,2,6,0,11,0,2,0,0,0,0,0,2,2,0,0,0,11,42,3,18,0,8,2,1,0,0,0,0,0,0,794,0,0,6,47,0,1,2,0,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352920,MGYS00000777,1813,802,3332,48,421,384516,118,6,840,12,0,0,320,0,32,12,3,1455,0,9,7,29,320,0,1,3,0,2,12,0,26,1,0,0,0,0,0,0,4,0,0,0,0,15,436,54,26,0,4,6,0,0,0,1,0,0,6,1373,2,0,2,19,1,4,16,2,124,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR1352921,MGYS00000777,905,215,540,75,479,8999,177,0,1,1,0,0,260,0,32,2,0,1983,0,1,23,104,61,0,3,0,0,0,29,0,17,0,0,0,0,1,0,0,0,0,0,0,0,2,80,18,41,0,2,51,0,0,0,0,0,0,10,243,0,0,28,109,0,10,1,0,71,0,74,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
