assembly_run_ids,study_id,Euryarchaeota,Acidobacteria,Actinobacteria,Armatimonadetes,Bacteroidetes,Balneolaeota,Caldiserica,Chlamydiae,Chloroflexi,Coprothermobacterota,Cyanobacteria,Deferribacteres,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Verrucomicrobia,Ascomycota,Basidiomycota,Cryptomycota,Arthropoda,Chordata,Gastrotricha,Mollusca,Nematoda,Rotifera,Apicomplexa,Cercozoa,Ciliophora,Discosea,Endomyxa,Euglenozoa,Evosea,Fornicata,Haptista,Preaxostyla,Rhodophyta,Tubulinea,Chlorophyta,Streptophyta,Crenarchaeota,Parvarchaeota,Aquificae,Caldithrix,Chlorobi,Chrysiogenetes,Dictyoglomi,Thermi,Thermotogae,Calditrichaeota,Annelida,Bacillariophyta,Chytridiomycota,Cnidaria,Euglenida,Microsporidia,Mucoromycota,Phaeophyceae,Platyhelminthes,Porifera,Tardigrada,Zoopagomycota
ERZ3455849,MGYS00005846,3,1,10,0,11,1,0,0,0,0,2,0,1,0,22,1,0,0,0,0,0,2,21,0,1,2,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455855,MGYS00005846,0,0,4,0,6,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455863,MGYS00005846,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455867,MGYS00005846,2,0,0,0,6,0,0,0,1,0,0,0,2,0,14,1,0,0,0,0,0,0,29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455803,MGYS00005846,1,0,9,0,15,0,0,0,0,0,0,0,0,0,34,2,0,0,0,0,0,0,39,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455809,MGYS00005846,0,0,4,0,22,0,0,0,0,0,1,0,0,0,23,1,0,0,0,0,0,0,39,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455831,MGYS00005846,3,0,7,0,11,0,0,0,0,0,0,0,1,0,33,2,0,0,2,1,0,0,24,0,1,2,4,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455859,MGYS00005846,2,0,15,0,10,0,0,0,1,0,0,0,0,0,47,3,0,0,4,0,0,0,67,0,2,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455884,MGYS00005846,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455797,MGYS00005846,1,0,8,0,4,0,0,0,0,0,1,0,0,0,18,1,0,0,0,0,0,0,42,0,0,6,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455815,MGYS00005846,2,1,6,0,5,0,0,0,1,0,0,0,0,0,18,2,0,0,0,0,0,0,23,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455825,MGYS00005846,0,0,2,0,6,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,21,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455862,MGYS00005846,0,0,0,0,2,0,0,0,0,0,0,0,1,0,15,1,0,0,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455876,MGYS00005846,1,0,1,0,10,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,34,0,0,4,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455888,MGYS00005846,0,0,7,0,12,0,0,0,0,0,0,0,1,0,31,2,0,0,0,0,0,0,34,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455812,MGYS00005846,1,0,1,0,3,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455843,MGYS00005846,2,0,4,0,15,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,29,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455851,MGYS00005846,1,1,8,0,6,0,0,0,0,0,0,0,0,0,34,2,0,0,1,0,0,0,42,0,1,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455868,MGYS00005846,2,3,8,0,4,0,0,0,1,0,0,0,0,0,29,2,0,0,3,0,0,1,24,0,3,2,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455872,MGYS00005846,4,0,12,0,19,0,0,0,0,0,0,0,0,0,51,1,0,0,0,0,0,1,67,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455880,MGYS00005846,1,0,4,0,4,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,1,25,0,0,2,1,1,0,0,0,3,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455807,MGYS00005846,1,0,14,0,12,0,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0,2,52,1,0,7,3,1,0,0,3,0,0,0,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455823,MGYS00005846,2,2,5,0,8,0,1,0,4,0,0,0,0,0,19,1,0,0,1,0,0,2,30,0,3,0,2,6,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455836,MGYS00005846,1,0,4,0,7,0,0,0,1,0,0,0,0,0,16,2,0,0,1,0,0,0,22,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455892,MGYS00005846,1,0,2,0,9,0,0,0,0,0,0,0,1,0,25,1,0,0,0,0,0,0,17,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455799,MGYS00005846,1,0,11,0,6,0,0,0,0,0,0,0,0,0,34,1,1,0,0,0,0,2,41,0,0,3,1,1,0,0,1,0,0,0,5,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455835,MGYS00005846,5,3,12,0,28,0,1,0,6,0,1,0,3,0,49,2,0,0,4,2,0,0,73,6,4,6,6,0,1,1,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455845,MGYS00005846,6,2,9,0,11,0,0,3,0,0,2,0,1,0,56,3,0,0,4,0,0,0,23,2,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455850,MGYS00005846,2,0,12,0,11,0,0,0,2,0,0,0,0,0,37,2,0,0,0,0,0,1,41,0,1,2,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455857,MGYS00005846,0,0,6,0,33,0,0,0,0,0,0,0,1,0,15,1,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455865,MGYS00005846,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ3455871,MGYS00005846,0,0,1,0,15,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
