,study_id,Crenarchaeota,Euryarchaeota,Thaumarchaeota,Acidobacteria,Actinobacteria,Armatimonadetes,Bacteroidetes,Caldiserica,Calditrichaeota,Chlamydiae,Chlorobi,Chloroflexi,Cyanobacteria,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Nitrospinae,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermotogae,Verrucomicrobia,Annelida,Apicomplexa,Arthropoda,Ascomycota,Bacillariophyta,Basidiomycota,Blastocladiomycota,Chlorophyta,Chordata,Chytridiomycota,Cnidaria,Colponemidia,Cryptomycota,Euglenida,Mollusca,Mucoromycota,Nematoda,Phaeophyceae,Platyhelminthes,Porifera,Rotifera,Streptophyta,Tardigrada,Xenacoelomorpha,Aquificae,Balneolaeota,Chrysiogenetes,Deferribacteres,Lentisphaerae,Thermodesulfobacteria,Brachiopoda,Echinodermata,Haplosporidia,Picozoa,Zoopagomycota,Nanoarchaeota,Dictyoglomi,Thermi,Parvarchaeota,Caldithrix,Poribacteria
ERR1356730,MGYS00000823,0,0,0,162,835,6,1173,0,0,8,44,55,58,1,1,529,9,39,0,0,0,28,149,4917,78,3,9,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ERR1356733,MGYS00000823,1,105,0,2079,3297,40,1128,0,0,6,47,319,61,19,27,47395,12,194,0,0,0,826,698,947911,99,3,18,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0
ERR1356761,MGYS00000823,0,7,0,51,973,13,1900,0,0,0,6,44,20,0,43,37212,22,6,0,0,0,2,38,194954,11,0,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
ERR1356762,MGYS00000823,0,8,0,64,405,6,1514,0,0,2,39,292,14,1,14,633,50,39,0,0,0,8,82,3627,74,2,5,1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ERR1356703,MGYS00000823,1,47,0,144,1109,5,809,0,0,5,10,134,1607,0,5,1909,17,10,0,0,0,9,57,246840,120,0,9,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,0,0
ERR1356706,MGYS00000823,0,3,0,195,349,12,870,0,0,6,29,372,30,3,0,300,16,60,0,0,0,86,167,2943,202,0,7,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ERR1356741,MGYS00000823,0,666,0,216,885,28,1256,8,0,2,44,314,82,1,22,26559,34,49,0,0,0,461,132,170114,442,0,5,16,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,1,1,0
ERR1356755,MGYS00000823,0,33,0,532,1285,59,3415,0,0,8,59,1010,129,9,4,7235,41,73,0,0,0,1717,460,235826,245,2,8,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,1,9,0
ERR1356757,MGYS00000823,29,1865,0,321,1407,89,2187,194,0,4,35,2522,62,0,103,66134,24,35,0,0,0,139,269,386829,1234,380,6,644,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,28,2,11,0
ERR1356758,MGYS00000823,0,10,0,62,443,4,1266,0,0,3,22,255,28,0,0,459,26,39,0,0,0,17,87,4424,80,6,10,1,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ERR1356709,MGYS00000823,0,141,0,53,1341,9,414,0,0,0,24,67,22,0,2,1439,12,10,0,0,0,126,48,239738,34,3,6,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,0
ERR1356747,MGYS00000823,0,33,0,374,900,22,2560,1,0,4,23,496,71,5,8,26629,24,57,0,0,0,903,460,278516,161,0,4,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0
