assembly_run_ids,study_id,Euryarchaeota,Actinobacteria,Bacteroidetes,Chloroflexi,Elusimicrobia,Firmicutes,Fusobacteria,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Tenericutes,Verrucomicrobia,Ascomycota,Basidiomycota,Arthropoda,Chordata,Mollusca,Nematoda,Rotifera,Cercozoa,Ciliophora,Euglenozoa,Heterolobosea,Tubulinea,Streptophyta,Crenarchaeota,Nanoarchaeota,Thaumarchaeota,Acidobacteria,Aquificae,Armatimonadetes,Balneolaeota,Caldiserica,Calditrichaeota,Chlamydiae,Chlorobi,Chrysiogenetes,Cyanobacteria,Deferribacteres,Fibrobacteres,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Nitrospinae,Rhodothermaeota,Synergistetes,Thermodesulfobacteria,Thermotogae,Annelida,Apicomplexa,Bacillariophyta,Blastocladiomycota,Brachiopoda,Bryozoa,Chlorophyta,Chromerida,Chytridiomycota,Cnidaria,Colponemidia,Cryptomycota,Echinodermata,Entoprocta,Entorrhizomycota,Euglenida,Eustigmatophyceae,Gastrotricha,Gnathostomulida,Haplosporidia,Hemichordata,Microsporidia,Mucoromycota,Phaeophyceae,Picozoa,Pinguiophyceae,Placozoa,Platyhelminthes,Porifera,Priapulida,Tardigrada,Xanthophyceae,Xenacoelomorpha,Zoopagomycota,Parvarchaeota,Caldithrix
ERZ781410,MGYS00005016,2,2,1,0,0,3,1,0,0,9,0,0,0,7,1,1,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ781409,MGYS00005016,3,0,8,0,0,5,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ724506,MGYS00005035,0,4,9,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ724540,MGYS00005035,3,11,17,2,0,19,3,1,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ724559,MGYS00005035,0,3,20,3,0,0,0,2,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ724523,MGYS00005035,4,9,40,1,0,20,2,0,0,38,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ724557,MGYS00005035,1,9,18,6,2,1,0,3,4,45,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERZ724505,MGYS00005035,0,3,6,0,1,3,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2814645,MGYS00005056,12,764,6977,12,2,9364,683,3,11,15138,14,98,78,4,4,0,1,0,12,2,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,4,3,0,28,0,20,4,14,2,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ERR2814646,MGYS00005056,18,685,4807,40,3,6284,1029,2,20,9749,332,90,147,5,0,1,3,1,2,0,0,0,0,0,0,329,0,0,0,14,0,0,0,0,0,7,0,0,68,0,19,3,9,4,24,0,0,11,0,1,2,3,0,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ERR2814647,MGYS00005056,25,738,6106,19,14,5841,1274,6,10,16395,105,48,96,34,2,0,10,0,3,0,0,0,0,0,0,3,0,0,0,15,0,0,0,0,0,11,0,0,24,0,10,2,22,11,13,0,0,20,0,1,0,3,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2814648,MGYS00005056,22,787,5900,56,32,7776,529,10,17,10119,129,77,101,3,0,2,1,0,18,13,0,0,0,0,0,9,0,0,0,26,0,0,0,1,2,10,0,0,43,0,12,2,12,10,16,0,0,25,0,0,0,0,0,0,0,0,19,0,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR2814649,MGYS00005056,17,550,4593,28,7,5259,920,2,8,9861,70,111,65,6,0,1,3,0,11,1,0,0,0,0,0,1,0,0,0,29,0,1,0,0,0,6,3,0,30,0,18,2,7,10,10,0,0,18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ERR2814650,MGYS00005056,21,591,4950,34,7,5586,988,2,10,10656,70,116,73,7,2,0,5,0,4,1,0,0,0,0,0,1,1,0,0,34,0,1,0,0,0,7,0,0,34,0,29,3,9,9,15,0,0,21,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
