sample_id,sample_name,biosample,sample_description,latitude,longitude,geolocation,biome,biome_feature,biome_material
ERS1243516,DTU2016-1611-PRJ1066-RL-Sewage-106_S10,SAMEA4072406,Danish sewage,55.695,12.615,Denmark,,,
ERS1243520,DTU2016-1615-PRJ1066-RL-Sewage-50_S14,SAMEA4072410,Danish sewage,55.695,12.615,Denmark,,,
ERS1230339,DTU2016-1171-PRJ1066-RD-Sewage-84_S13_L001,SAMEA4059229,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1230350,DTU2016-1496-PRJ1066-RL-Sewage-87_S9_L001,SAMEA4059240,Danish sewage,55.695,12.615,Denmark,,,
ERS1215574,DTU2016-1134-PRJ1066-RL-Sewage-62_S2_L001,SAMEA4044464,Danish sewage,55.695,12.615,Denmark,,,
ERS1215580,DTU2016-1140-PRJ1066-RD-Sewage-74_S8_L001,SAMEA4044470,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1215581,DTU2016-1141-PRJ1066-RD-Sewage-75_S9_L001,SAMEA4044471,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1230336,DTU2016-1168-PRJ1066-RD-Sewage-71_S10_L001,SAMEA4059226,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1234044,DTU2016-1570-PRJ1066-RL-Sewage-95_S11_L001,SAMEA4062934,Danish sewage,55.695,12.615,Denmark,,,
ERS1243519,DTU2016-1614-PRJ1066-RD-Sewage-31_S13,SAMEA4072409,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1215582,DTU2016-1142-PRJ1066-RD-Sewage-76_S10_L001,SAMEA4044472,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1217113,DTU2016-1161-PRJ1066-RL-Sewage-59_S3_L001,SAMEA4046003,Danish sewage,55.695,12.615,Denmark,,,
ERS1234046,DTU2016-1578-PRJ1066-RD-Sewage-103_S19_L001,SAMEA4062936,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1243521,DTU2016-1616-PRJ1066-RA-Sewage-8_S15,SAMEA4072411,Danish sewage,55.6085,12.4505,Denmark,,,
ERS1230349,DTU2016-1494-PRJ1066-RD-Sewage-66_S7_L001,SAMEA4059239,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1234043,DTU2016-1569-PRJ1066-RD-Sewage-94_S10_L001,SAMEA4062933,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1215576,DTU2016-1136-PRJ1066-RL-Sewage-64_S4_L001,SAMEA4044466,Danish sewage,55.695,12.615,Denmark,,,
ERS1215577,DTU2016-1137-PRJ1066-RL-Sewage-65_S5_L001,SAMEA4044467,Danish sewage,55.695,12.615,Denmark,,,
ERS1215583,DTU2016-1143-PRJ1066-RD-Sewage-77_S11_L001,SAMEA4044473,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1217111,DTU2016-1159-PRJ1066-RL-Sewage-57_S1_L001,SAMEA4046001,Danish sewage,55.695,12.615,Denmark,,,
ERS1217117,DTU2016-1165-PRJ1066-RD-Sewage-68_S7_L001,SAMEA4046007,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1230364,DTU2016-1535-PRJ1066-RD-Sewage-89_S2_L001,SAMEA4059254,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1230338,DTU2016-1170-PRJ1066-RD-Sewage-83_S12_L001,SAMEA4059228,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1230346,DTU2016-1491-PRJ1066-RA-Sewage-53_S4_L001,SAMEA4059236,Danish sewage,55.6085,12.4505,Denmark,,,
ERS1230368,DTU2016-1539-PRJ1066-RD-Sewage-93_S6_L001,SAMEA4059258,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1243517,DTU2016-1612-PRJ1066-RL-Sewage-107_S11,SAMEA4072407,Danish sewage,55.695,12.615,Denmark,,,
ERS1243518,DTU2016-1613-PRJ1066-RD-Sewage-108_S12,SAMEA4072408,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1215579,DTU2016-1139-PRJ1066-RD-Sewage-73_S7_L001,SAMEA4044469,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1215585,DTU2016-1145-PRJ1066-RL-Sewage-79_S13_L001,SAMEA4044475,Danish sewage,55.695,12.615,Denmark,,,
ERS1217115,DTU2016-1163-PRJ1066-RL-Sewage-61_S5_L001,SAMEA4046005,Danish sewage,55.695,12.615,Denmark,,,
ERS1217112,DTU2016-1160-PRJ1066-RL-Sewage-58_S2_L001,SAMEA4046002,Danish sewage,55.695,12.615,Denmark,,,
ERS1215573,DTU2016-1133-PRJ1066-RA-Sewage-54_S1_L001,SAMEA4044463,Danish sewage,55.6085,12.4505,Denmark,,,
ERS1230348,Danish sewage,SAMEA4059238,Danish sewage,55.695,12.615,Denmark,,,
ERS1230363,Danish sewage,SAMEA4059253,Danish sewage,55.695,12.615,Denmark,,,
ERS1230341,Danish sewage,SAMEA4059231,"Negative control sample for samples 57 - 61, 67-71, 82-86",55.695,12.615,Denmark,,,
ERS1230342,Danish sewage,SAMEA4059232,Danish sewage,55.695,12.615,Denmark,,,
ERS1230343,Danish sewage,SAMEA4059233,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1230344,Danish sewage,SAMEA4059234,Danish sewage,55.695,12.615,Denmark,,,
ERS1230351,Danish sewage,SAMEA4059241,"Negative control for samples; 32, 51-53, 55-56, 66, 87-93",55.6405,12.5058,Denmark,,,
ERS1230352,Danish sewage,SAMEA4059242,"Negative control for samples; 32, 51-53, 55-56, 66, 87-93",55.6405,12.5058,Denmark,,,
ERS1230353,Danish sewage,SAMEA4059243,Danish sewage,55.6405,12.5058,Denmark,,,
ERS1243511,Danish sewage,SAMEA4072401,Danish sewage,55.695,12.615,Denmark,,,
